bs_type,atr_multiplier,total_return_pct,max_drawdown_pct,calmar_ratio,trades_count,win_rate
"2,2s,3a,3b",1.5,0.24134816378000046,0.013323155491958767,18.11494010751934,34,0.625
"2,2s,3a,3b",3.0,0.24134816378000046,0.013323155491958767,18.11494010751934,34,0.625
"2,2s,3a,3b",2.5,0.24134816378000046,0.013323155491958767,18.11494010751934,34,0.625
"2,2s,3a,3b",2.0,0.24134816378000046,0.013323155491958767,18.11494010751934,34,0.625
"1,2,3a",3.0,0.012223760649999749,0.061483220640163164,0.19881457937183478,41,0.5
"1,2,3a",1.5,0.010748556337499613,0.06273510889458593,0.17133239308726567,41,0.55
"1,2,3a",2.5,0.010748556337499613,0.06273510889458593,0.17133239308726567,41,0.55
"1,2,3a",2.0,0.010748556337499613,0.06273510889458593,0.17133239308726567,41,0.55
"1,1p,2,2s,3a,3b",1.5,-0.08685950582750039,0.13146779857365545,-0.6606903498033166,55,0.2692307692307692
"1,1p,2,2s,3a,3b",2.0,-0.08685950582750039,0.13146779857365545,-0.6606903498033166,55,0.2692307692307692
"1,1p,2,2s,3a,3b",2.5,-0.08685950582750039,0.13146779857365545,-0.6606903498033166,55,0.2692307692307692
"1,1p,2,2s,3a,3b",3.0,-0.09478471907250001,0.13883462021572066,-0.6827167382690564,57,0.2222222222222222
"1,1p",2.5,-0.10254737003749993,0.1305870545961352,-0.7852797534537155,22,0.1
"1,1p",3.0,-0.10254737003749993,0.1305870545961352,-0.7852797534537155,22,0.1
"1,1p",2.0,-0.10254737003749993,0.1305870545961352,-0.7852797534537155,22,0.1
"1,1p",1.5,-0.10254737003749993,0.1305870545961352,-0.7852797534537155,22,0.1
"1,2,3a,1p",1.5,-0.10659004149999994,0.1355275494561667,-0.7864824674224192,38,0.2222222222222222
"1,2,3a,1p",2.0,-0.10659004149999994,0.1355275494561667,-0.7864824674224192,38,0.2222222222222222
"1,2,3a,1p",2.5,-0.10659004149999994,0.1355275494561667,-0.7864824674224192,38,0.2222222222222222
"1,2,3a,1p",3.0,-0.10892441126249992,0.1378397739459589,-0.7902248251306953,38,0.16666666666666666
